,sqft_living15,sqft_lot15,price,distance_from_seattle
sqft_living15,1.0,0.18348870274313775,0.5852399579850216,0.13642290779515467
sqft_lot15,0.18348870274313775,1.0,0.08283274497610843,0.26940234880305597
price,0.5852399579850216,0.08283274497610843,1.0,-0.28712659353794945
distance_from_seattle,0.13642290779515467,0.26940234880305597,-0.28712659353794945,1.0
